,rider_provider,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1,807863_2021,107725000.0,0.8992295299548403,5.204315335764748,0.1806244198419706,0.19610873533898518,83.93106542993232,3.9902968464751045,93652000.0,,,0.0,0.0,0.0,0.0,669602040.0,0.6608681245858185,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
1,807863_2020,91421000.0,0.9023887079261672,3.454015437674495,0.18702728578267114,0.16623213530078215,,5.33313313040036,80319000.0,,,0.0,0.0,0.0,0.0,,0.790170896956214,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1576914_2021,83029000.0,0.6543177770422557,2.3618680612900267,0.02410090178160075,0.26498046906656725,,11.827965703356726,62063000.0,,,0.0,0.0,0.0,0.0,,0.33272540750028495,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1576914_2020,92635000.0,0.6360109852385857,1.9393477155516816,0.01828320580962302,0.27806503736618865,,11.095738234700061,74063000.0,,,0.0,0.0,0.0,0.0,,0.20724323304725079,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1118417_2021,,,2.3049171150436973,-0.8246762250755706,0.2534872598074255,,-7.8146680401967785,72234000.0,,,-0.0,-0.0,-0.0,-0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,,,
1,1118417_2020,,,3.172533669816908,-0.39240688090520087,0.22067213710960584,,-3.882347592853571,58890000.0,,,-0.0,-0.0,-0.0,-0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,,,
1,1441816_2021,413304000.0,0.7000643653240286,3.22074738887745,-4.383428406085403,0.38027333610773845,,-28.631860753465503,-32228000.0,,,-0.0,-0.0,-0.0,-0.0,,-1.5075108992748876,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1441816_2020,296364000.0,0.7027506402352272,4.592695887517328,-3.0588048354706063,0.3222647239096589,,-23.336750309455716,-22510000.0,,,-0.0,-0.0,-0.0,-0.0,,-1.4001882638246275,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1566895_2021,116158000.0,0.5685853161880241,3.822485565121184,-0.004228792225224534,0.2721018676839637,,-0.09313724337279122,45527000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.0044931071651443805,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1448056_2021,,,2.268849251440952,-3.0209068523659406,0.4614170051402714,-20.351504698613777,-19.235820311212624,10164000.0,,,-0.0,-0.0,-0.0,-0.0,3919903320.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0,
1,1448056_2020,,,2.656667073837836,-1.4862963334336041,0.4825011307158809,-31.110888831419995,-11.395181676893293,17748000.0,,,-0.0,-0.0,-0.0,-0.0,2766909120.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0,
1,849399_2021,,,0.7200374531835206,0.9551724137931035,0.9582772543741588,22.425270758122746,24.854194706146256,1258000000.0,,,0.0,0.0,0.0,0.0,12423600000.000002,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,,1.0,
1,849399_2020,,,1.1742944317315027,6.599320882852292,0.7812872467222884,2.771497298687934,115.82240762812872,748000000.0,,,0.0,0.0,0.0,0.0,10772810000.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,,1.0,
1,1002517_2021,,,0.6501272689473463,-0.08466946089193444,0.4517526571853738,-650.0572865374542,-1.3005390769997383,,19736043040.0,,-0.0,-0.0,-0.0,-0.0,17373431040.0,-0.0505225986831534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,1.0,0.0
1,1002517_2020,,,0.7463276079915468,,0.6359875864844367,,3.5391546839609744,,,,0.0,0.0,0.0,0.0,,0.08588769819967164,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0,,,0.0
1,1618732_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1618732_2020,1020993000.0,0.7807655072104686,1.439115604647706,-0.9177960772274188,0.3385933421819186,-24.177484030040787,-8.255373733954515,-542232000.0,,,-0.0,-0.0,-0.0,-0.0,4481248310.0,-0.6465124228693812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0
1,746210_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1660134_2021,617743000.0,0.7394365017045237,1.86241001957798,-0.1419917931348922,0.9332876838057698,-1824.1195091743118,-1.0530790485575714,13522000.0,,,-0.0,-0.0,-0.0,-0.0,31812644240.0,-0.08011723577161076,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0
1,1660134_2020,426685000.0,0.7280481583163699,2.9247407959953415,,0.4947366231172506,,-1.5173250937982785,-26450000.0,,,-0.0,-0.0,-0.0,-0.0,,-0.10525027920342322,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1044777_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1568100_2021,182870000.0,0.8563093521137313,3.6962141128238386,-0.8313342766133385,0.28103447714705104,,-11.212965464268162,-35596000.0,,,-0.0,-0.0,-0.0,-0.0,,-2.2454213647917616,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1568100_2020,141772000.0,0.8522461542160853,3.5206812017525557,-0.6470845779739551,0.23620145870293713,,-10.336380511203101,-30980000.0,,,-0.0,-0.0,-0.0,-0.0,,-2.0480491476463647,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1327567_2021,2981.2000000000003,0.7004534667888442,0.9082611839662283,-5.127440904419322,8.06414499605989,,-78.62884160756501,970.8000000000002,,,-0.0,-0.0,-0.0,-0.0,,-0.391324809789003,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1327567_2020,2408.9,0.7067539021241639,1.9055615410335476,-0.6116303219106958,2.4430023597749138,,-5.345797785442004,820.5,,,-0.0,-0.0,-0.0,-0.0,,-0.05892946473236618,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0
1,1084384_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
